case,attestation_enabled,xfrm_mode,case_order,runs,warmup_runs,ok,failed,avg_ms,median_ms,min_ms,max_ms,p95_ms,p99_ms
baseline,0,apply,history-first,50,3,50,0,28.928,25.648,17.870,110.879,47.056,85.130
history_bound,1,apply,history-first,50,3,50,0,30.943,28.044,19.727,64.130,50.288,63.621
