case,attestation_enabled,xfrm_mode,case_order,runs,warmup_runs,ok,failed,avg_ms,median_ms,min_ms,max_ms,p95_ms,p99_ms
baseline,0,apply,history-first,50,3,50,0,27.519,24.427,18.067,106.527,40.640,78.238
history_bound,1,apply,history-first,50,3,50,0,30.458,27.663,21.589,81.053,43.226,65.233
