case,attestation_enabled,xfrm_mode,case_order,runs,warmup_runs,ok,failed,avg_ms,median_ms,min_ms,max_ms,p95_ms,p99_ms
baseline,0,apply,history-first,50,3,50,0,26.862,23.822,17.780,66.063,41.342,61.369
history_bound,1,apply,history-first,50,3,50,0,34.187,27.989,19.281,144.056,68.656,119.934
