case,attestation_enabled,xfrm_mode,case_order,runs,warmup_runs,ok,failed,avg_ms,median_ms,min_ms,max_ms,p95_ms,p99_ms
baseline,0,apply,baseline-first,50,3,50,0,30.088,25.431,18.216,120.070,55.493,99.385
history_bound,1,apply,baseline-first,50,3,50,0,31.247,27.345,20.294,101.828,46.374,76.869
