case,attestation_enabled,xfrm_mode,case_order,runs,warmup_runs,ok,failed,avg_ms,median_ms,min_ms,max_ms,p95_ms,p99_ms
baseline,0,apply,baseline-first,50,3,50,0,29.123,25.916,17.212,83.786,51.377,75.828
history_bound,1,apply,baseline-first,50,3,50,0,23.470,22.974,19.614,32.682,28.996,32.144
