case,attestation_enabled,xfrm_mode,case_order,runs,warmup_runs,ok,failed,avg_ms,median_ms,min_ms,max_ms,p95_ms,p99_ms
baseline,0,apply,baseline-first,50,3,50,0,27.647,25.503,18.196,64.283,43.578,59.489
history_bound,1,apply,baseline-first,50,3,50,0,23.675,22.715,19.008,38.814,30.611,37.577
