case,attestation_enabled,pep_state_persistence,case_order,runs,warmup_runs,ok,failed,avg_ms,median_ms,min_ms,max_ms,p95_ms,p99_ms
baseline,0,disabled,baseline-first,1000,20,1000,0,1.053,0.950,0.782,9.983,1.516,2.377
history_bound,1,disabled,baseline-first,1000,20,1000,0,1.217,1.086,0.883,12.359,1.738,3.025
