case,attestation_enabled,pep_state_persistence,case_order,runs,warmup_runs,ok,failed,avg_ms,median_ms,min_ms,max_ms,p95_ms,p99_ms
baseline,0,disabled,history-first,1000,20,1000,0,1.014,0.927,0.750,5.014,1.388,2.445
history_bound,1,disabled,history-first,1000,20,1000,0,1.196,1.078,0.895,6.715,1.817,3.009
