case,attestation_enabled,pep_state_persistence,case_order,runs,warmup_runs,ok,failed,avg_ms,median_ms,min_ms,max_ms,p95_ms,p99_ms
baseline,0,disabled,baseline-first,1000,20,1000,0,0.954,0.868,0.726,4.194,1.365,1.953
history_bound,1,disabled,baseline-first,1000,20,1000,0,1.326,1.125,0.929,18.280,2.265,3.927
